,Ticker,Date,Div Amount
425,TCN.AX,2016-09-08,0.0035
426,TCN.AX,2015-09-08,0.0049
427,TGR.AX,2020-03-13,0.09
428,TGR.AX,2019-09-10,0.09
429,TGR.AX,2019-03-14,0.09
430,TGR.AX,2018-09-10,0.08
431,TGR.AX,2018-03-14,0.09
432,TGR.AX,2017-09-08,0.075
433,TGR.AX,2017-03-14,0.075
434,TGR.AX,2016-09-08,0.075
435,TGR.AX,2016-03-15,0.075
436,TGR.AX,2015-09-09,0.07
437,TGR.AX,2015-03-13,0.07
438,TAP.AX,2019-12-12,0.025
439,TWD.AX,2020-04-15,0.12
440,TWD.AX,2019-03-08,0.27
441,TWD.AX,2018-11-16,0.16
442,TWD.AX,2018-05-11,0.11
443,TWD.AX,2017-11-16,0.16
444,TWD.AX,2017-05-12,0.11
445,TWD.AX,2016-11-16,0.15
446,TWD.AX,2016-05-12,0.1
447,TWD.AX,2015-11-17,0.15
448,TWD.AX,2015-05-11,0.1
449,TAH.AX,2020-02-24,0.11
450,TAH.AX,2019-08-21,0.11
451,TAH.AX,2019-02-18,0.11
452,TAH.AX,2018-08-15,0.1
453,TAH.AX,2018-02-13,0.11
454,TAH.AX,2017-08-11,0.125
455,TAH.AX,2017-02-07,0.125
456,TAH.AX,2016-08-10,0.12
457,TAH.AX,2016-02-09,0.12
458,TAH.AX,2015-08-18,0.1
459,TAH.AX,2015-03-06,0.1
460,SYD.AX,2019-12-30,0.195
461,SYD.AX,2019-06-27,0.195
462,SYD.AX,2018-12-28,0.19
463,SYD.AX,2018-06-28,0.185
464,SYD.AX,2017-12-28,0.18
465,SYD.AX,2017-06-29,0.165
466,SYD.AX,2016-12-29,0.16
467,SYD.AX,2016-06-29,0.15
468,SYD.AX,2015-12-29,0.13
469,SYD.AX,2015-06-26,0.125
470,SWK.AX,2020-03-19,0.003
471,SWK.AX,2019-09-19,0.006
472,SWK.AX,2016-09-20,0.004
473,SWK.AX,2015-03-06,0.002
474,SNL.AX,2020-03-18,0.065
475,SNL.AX,2019-09-11,0.085
476,SNL.AX,2019-03-20,0.06
477,SNL.AX,2018-09-13,0.08
478,SNL.AX,2018-03-21,0.055
479,SNL.AX,2017-09-14,0.045
480,SNL.AX,2017-03-16,0.045
481,SNL.AX,2016-09-14,0.05
482,SNL.AX,2016-03-16,0.04
